$\pi$,Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,ex_name,$y_{gt}$,$y_{predict}$,finished_replace
$\pi_{KM}$,16.043333333333333,275.7146069716776,511.0,,0.4603545472521175,485.9,optimal_utility,,,True
$\pi_{optimized}$,16.2143$\pm$0.3586,202.6315$\pm$6.6233,193.5000$\pm$32.5000,1.8810$\pm$0.0476,0.3741$\pm$0.0052,425.0500$\pm$11.9500,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.533319196649721,8.518781599023843,True
$\pi y_{gt}^1$,16.328293650793654,226.9033374984253,209.0,1.9047619047619049,0.3813642708404841,416.2,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.359856416044112,8.337355300744706,True
$\pi y_{gt}^2$,16.733670634920635,222.27260902974612,242.0,1.7857142857142858,0.3805607582723196,419.5,ver2_nofilter_multilist(2.4_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.299185633863727,8.17537103354486,True
$\pi y_{gt}^3$,17.357996031746033,236.95058707207423,250.0,1.9285714285714288,0.3917568983583653,409.0,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.172267763223628,8.126797730357305,True
$\pi y_{gt}^4$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7.735134303238838,7.623713880244593,True
$\pi y_{gt}^5$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{gt}^6$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{gt}^7$,13.0303$\pm$0.3549,203.2230$\pm$1.9904,306.0000$\pm$3.0000,3.1078$\pm$0.6373,0.5000$\pm$0.0218,412.3500$\pm$20.7500,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,7.512072047102268,7.564306058338416,True
$\pi y_{gt}^8$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{gt}^9$,13.675392156862744,223.58709134948097,327.0,3.4705882352941178,0.4897216579843118,425.7,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6.9263756441348665,7.564362126541567,True
$\pi y_{gt}^10$,13.7285$\pm$0.2331,230.0871$\pm$4.2513,348.0000$\pm$32.0000,4.0294$\pm$0.2059,0.4982$\pm$0.0121,414.2000$\pm$10.8000,ver1_nofilter_singlelist_5t_1h_p#singlelist,6.274611276763287,6.533915156809739,True
$\pi y_{predict}^1$,16.328293650793654,226.9033374984253,209.0,1.9047619047619049,0.3813642708404841,416.2,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8.359856416044112,8.337355300744706,True
$\pi y_{predict}^2$,16.733670634920635,222.27260902974612,242.0,1.7857142857142858,0.3805607582723196,419.5,ver2_nofilter_multilist(2.4_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.299185633863727,8.17537103354486,True
$\pi y_{predict}^3$,17.357996031746033,236.95058707207423,250.0,1.9285714285714288,0.3917568983583653,409.0,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,8.172267763223628,8.126797730357305,True
$\pi y_{predict}^4$,13.7133$\pm$0.2923,201.5303$\pm$9.1882,269.5000$\pm$11.5000,2.1939$\pm$0.0102,0.4701$\pm$0.0017,420.3000$\pm$2.2000,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7.735134303238838,7.623713880244593,True
$\pi y_{predict}^5$,13.675392156862744,223.58709134948097,327.0,3.4705882352941178,0.4897216579843118,425.7,ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6.9263756441348665,7.564362126541567,True
$\pi y_{predict}^6$,13.0303$\pm$0.3549,203.2230$\pm$1.9904,306.0000$\pm$3.0000,3.1078$\pm$0.6373,0.5000$\pm$0.0218,412.3500$\pm$20.7500,ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,7.512072047102268,7.564306058338416,True
$\pi y_{predict}^7$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{predict}^8$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{predict}^9$,13.6879$\pm$0.7944,211.7501$\pm$19.9977,298.0000$\pm$36.0000,2.2361$\pm$0.1953,0.4781$\pm$0.0065,427.1000$\pm$9.0000,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,7.611745291438174,7.542361581075327,True
$\pi y_{predict}^10$,14.135915032679735,228.6332793370071,366.0,3.372549019607843,0.4950137886188124,413.1,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,6.743320893472768,7.37226163053036,True
