Avg $House^{size}\uparrow$,Var $House^{size}\downarrow$,Rop $\downarrow$,Avg WT $\downarrow$,gini coefficient $\downarrow$,SW $\uparrow$,m,entry,sort,k,c,rqueue,ex_name,finished_replace
15.969000933706816,224.3415712323428,285.0,2.3380018674136323,0.4189361802390623,414.56666666666666,3,p^{select},FIFO,3,3,r^{size},ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
11.106839869281046,175.85107964810538,270.0,5.019607843137255,0.5406155072216271,378.9,3,p^{family},FIFO,2,3,r^{rent},optimized_task_config_207,True
10.879192810457514,159.23840477818356,224.0,3.313725490196078,0.5243870967741935,387.5,3,p^{family},VFA,1,2,r^{rent},optimized_task_config_181,True
27.97652777777777,141.97207000385805,3.0,1.5,0.0488936473947181,93.4,3,p^{select},VFA,2,2,r^{size},optimized_task_config_53,True
25.48625,127.0248412847222,4.0,1.1,0.0691884456671251,145.39999999999998,3,p^{select},FIFO,3,5,r^{size},optimized_task_config_302,True
19.4415,153.7821842222222,77.0,1.8,0.2073827160493828,324.0,3,p^{select},FIFO,3,5,r^{size},optimized_task_config_307,True
30.14166666666667,173.85773111111112,3.0,1.0,0.1157593123209168,69.80000000000001,3,p^{select},VFA,2,2,r^{size},optimized_task_config_102,True
11.47061274509804,159.34441656254003,251.5,3.588235294117647,0.5051800237875927,410.00000000000006,3,p^{family},VFA,2,2,r^{rent},ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True
12.133885620915033,181.152571416656,242.0,1.803921568627451,0.4948899763640599,412.3,3,p^{select},VFA,3,3,r^{size},optimized_task_config_212,True
13.675392156862744,223.58709134948097,327.0,3.4705882352941178,0.4897216579843118,425.7,3,p^{select},FIFO,2,5,r^{size},ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,True
11.30361111111111,163.74938979612543,246.5,3.8627450980392153,0.5214428797244559,402.7000000000001,3,p^{rent},VFA,2,2,r^{rent},ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True
12.827796241830066,192.26948993322344,250.5,2.0058823529411764,0.4881934247962756,411.75,3,p^{select},VFA,2,2,r^{size},batch_t10_h10,True
13.080712418300651,200.70143430945367,284.0,3.392156862745098,0.4830019653549064,429.0,3,p^{select},VFA,4,5,r^{size},optimized_task_config_52,True
12.694346405228757,209.77461728288264,322.0,4.676470588235294,0.5134099151243298,399.85,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_5t_6h_p#singlelist,True
12.917222222222222,98.89776913580248,2.0,1.3333333333333333,0.3771331058020477,58.6,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_210,True
12.761290849673202,192.0679900139904,315.0,3.1372549019607843,0.5030734329257387,416.6,3,p^{select},VFR,4,7,r^{size},optimized_task_config_78,True
25.25333333333333,96.11031388888888,3.0,1.6666666666666667,0.0674074074074073,90.0,3,p^{select},VFA,2,2,r^{size},optimized_task_config_91,True
25.7445,115.769396,1.0,1.0,0.110402219140083,72.1,3,p^{select},VFA,2,2,r^{size},optimized_task_config_110,True
12.694297385620915,186.5321789861805,275.0,5.509803921568627,0.4862180843560445,417.0,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_24,True
6.359901960784314,164.3236522875817,230.5,5.578431372549019,0.787045567976532,173.0,3,p^{family},VFA,2,2,r^{size},ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True
11.862450980392156,162.93761630462643,258.5,3.2254901960784315,0.5086555023430948,409.85,3,p^{family},VFA,2,2,r^{size},ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True
12.85290522875817,207.50712286738,281.0,3.294117647058824,0.480324414731344,419.7,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_281,True
12.53138888888889,258.3952596450617,4.0,1.6666666666666667,0.5461538461538462,39.0,3,p^{select},FIFO,5,2,r^{random},optimized_task_config_138,True
25.59097222222222,107.11339650848764,10.0,1.4166666666666667,0.05036832412523,181.0,3,p^{select},VFA,2,2,r^{size},optimized_task_config_152,True
14.45673202614379,264.0888175338545,383.0,3.764705882352941,0.5347215727838566,377.4,3,p^{family},VFA,3,2,r^{size},optimized_task_config_168,True
12.390454248366014,169.09891671141443,265.0,2.0392156862745097,0.4871338251783172,416.2,3,p^{select},FIFO,3,4,r^{size},optimized_task_config_325,True
7.942843137254902,150.12635711264895,189.0,3.843137254901961,0.6790728637133867,259.2,3,p^{select},VFA,1,2,r^{size},optimized_task_config_175,True
17.0443,161.01786931555557,63.0,2.4,0.2842831732479545,281.1,3,p^{select},FIFO,3,5,r^{size},optimized_task_config_301,True
21.474,215.020864,3.0,1.4,0.2110344827586207,58.0,3,p^{select},VFA,2,3,r^{size},optimized_task_config_128,True
9.06246732026144,178.53700008063143,264.0,3.9607843137254894,0.6523550762068087,284.7,3,p^{select},VFA,4,4,r^{size},optimized_task_config_322,True
7.246307189542484,182.73354763766068,260.0,4.882352941176471,0.7658269128857363,192.4,3,p^{family},VFA,2,3,r^{size},optimized_task_config_170,True
13.337500000000002,209.537329003268,298.0,2.8823529411764706,0.4849793128260479,425.1,3,p^{select},FIFO,5,5,r^{size},optimized_task_config_65,True
11.469934640522876,171.6363864881029,335.0,3.647058823529412,0.5289195596271294,390.4,3,p^{rent},FIFO,3,5,r^{size},optimized_task_config_267,True
11.477859477124184,165.9368135962664,211.0,3.196078431372549,0.4973129294956032,416.3,3,p^{select},FIFO,3,2,r^{size},optimized_task_config_200,True
13.145718954248364,210.30951233713523,270.0,2.333333333333333,0.4865965483830198,418.9,3,p^{select},FIFO,3,2,r^{size},optimized_task_config_199,True
13.915416666666664,237.8641970729741,386.5,3.0098039215686274,0.5084520661552832,409.05,3,p^{select},VFA,2,3,r^{size},ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
16.605625,180.12617492187502,44.0,2.25,0.3414823529411763,212.5,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_169,True
12.690490196078432,237.1319082019737,324.0,3.2745098039215685,0.5610785387539463,365.2,3,p^{family},FIFO,2,4,r^{size},optimized_task_config_289,True
24.378083333333333,112.44017417361113,4.0,1.2,0.0760381211708645,146.9,3,p^{select},FIFO,3,5,r^{size},optimized_task_config_305,True
7.157663398692811,138.66077291960363,191.0,4.774509803921569,0.7065092882145539,243.25,3,p^{select},VFA,2,2,r^{size},ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,True
26.32183333333333,144.37541511111112,1.0,1.0,0.0866995073891625,81.19999999999999,3,p^{select},VFA,2,2,r^{size},optimized_task_config_100,True
12.719781045751636,179.69112442319187,256.0,5.019607843137255,0.490734551396316,422.4,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_184,True
10.272450980392156,167.2042482955274,256.0,4.607843137254902,0.5599767738189325,364.7,2,p^{family},VFA,4,5,r^{random},optimized_task_config_314,True
11.942557189542484,188.77231668615707,280.0,6.617647058823529,0.5270691564239093,386.7000000000001,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,True
29.43233333333333,144.76391511111112,1.0,1.6,0.0584856396866841,76.6,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_105,True
13.422101307189545,217.61275573102228,301.0,2.372549019607843,0.4785015129647364,436.1,3,p^{select},FIFO,1,5,r^{size},optimized_task_config_275,True
12.415816993464054,174.5730026277287,262.0,2.3529411764705883,0.4893147205716505,413.8,3,p^{select},FIFO,2,3,r^{size},optimized_task_config_30,True
16.861329365079364,223.2576133948256,239.0,2.523809523809524,0.3773353165213079,422.6,3,p^{select},VFA,2,2,r^{size},optimized_task_config_189,True
11.20908496732026,225.35285883047115,306.0,2.6862745098039214,0.5873674344332009,338.9,3,p^{select},VFA,5,5,r^{size},optimized_task_config_118,True
13.127418300653597,204.3173160472468,277.0,3.117647058823529,0.4863649857924425,416.1,3,p^{select},FIFO,3,5,r^{size},optimized_task_config_31,True
27.107222222222223,137.55356913580246,2.0,1.0,0.0798226164079822,90.2,3,p^{select},VFA,2,2,r^{size},optimized_task_config_198,True
23.97083333333333,266.83529513888885,7.0,1.5,0.1897435897435897,78.0,3,p^{select},FIFO,2,3,r^{size},optimized_task_config_124,True
11.080486928104577,168.29323758479646,221.0,6.764705882352941,0.5278384529610338,385.1,3,p^{select},VFA,3,4,r^{size},optimized_task_config_146,True
28.482,167.700046,3.0,1.2,0.0987012987012987,77.0,3,p^{select},VFA,2,2,r^{size},optimized_task_config_57,True
12.079297385620915,207.53219766809767,321.0,3.882352941176471,0.547947509210063,373.1,4,p^{family},VFA,2,2,r^{rent},ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,True
10.158169934640524,129.24736492428127,198.0,6.196078431372549,0.5155924738787816,390.9,3,p^{family},FIFO,3,3,r^{rent},optimized_task_config_286,True
20.59491666666667,118.96392006249998,4.0,1.8,0.1210834553440702,136.6,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_131,True
11.39187908496732,155.65066429311372,222.0,3.725490196078432,0.5013671970028706,403.0,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_32,True
12.576372549019608,173.72540421632706,263.0,3.411764705882353,0.4818442471328154,424.0,3,p^{select},VFA,3,5,r^{size},optimized_task_config_51,True
12.774281045751632,189.10880422059896,267.5,2.6764705882352944,0.4985335814508491,416.6,3,p^{select},VFA,2,2,r^{size},batch_t5_h20,True
4.557875816993465,127.21164684950234,128.0,7.0,0.835390765716294,133.9,3,p^{select},VFA,2,2,r^{random},optimized_task_config_123,True
11.0368954248366,133.23883973525136,224.0,3.6666666666666665,0.5138603747012209,395.4,3,p^{family},VFA,2,2,r^{size},ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True
5.685686274509805,133.5526014353454,184.0,4.8431372549019605,0.7907798944014142,168.6,3,p^{select},VFA,2,4,r^{rent},optimized_task_config_145,True
13.045261437908495,199.0250574479901,284.0,2.627450980392157,0.4847285948475607,428.2,3,p^{select},FIFO,4,4,r^{size},optimized_task_config_277,True
13.030277777777776,203.2229751412384,306.0,3.107843137254902,0.4999989884042175,412.35,3,p^{select},FIFO,1,1,r^{size},ver2_nofilter_multilist(2.1_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose1,True
13.607982407407407,196.631674424844,217.0,2.102222222222222,0.4457555390768261,422.8,3,p^{select},VFA,2,2,r^{size},batch_t5_h10,True
5.416013071895424,131.3717700521167,197.0,6.686274509803922,0.8015805184992506,158.3,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_208,True
12.243464052287583,179.21774693280358,231.0,3.588235294117647,0.4893654387438829,413.1,3,p^{select},VFA,2,5,r^{size},optimized_task_config_162,True
13.022549019607842,194.1274526528258,293.0,2.803921568627451,0.4877202237987476,423.7000000000001,3,p^{select},VFA,3,4,r^{size},optimized_task_config_182,True
26.611666666666668,280.64449777777776,4.0,1.6,0.291156462585034,58.8,3,p^{select},VFA,2,2,r^{size},optimized_task_config_58,True
13.820286114445778,216.1707755251637,333.0,2.7458983593437374,0.4903438588634709,409.8,3,p^{select},VFA,1,3,r^{size},ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
10.709232026143791,157.02884942383272,225.0,3.607843137254902,0.5534587168200613,367.5,3,p^{family},VFA,1,5,r^{rent},optimized_task_config_254,True
5.565228758169934,119.11243355333416,161.0,4.823529411764706,0.7589539848197343,198.4,3,p^{select},FIFO,2,3,r^{rent},optimized_task_config_211,True
26.45233333333333,166.44805511111113,2.0,1.6,0.0696569920844327,75.8,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_115,True
12.457140522875816,194.10599913548205,234.0,3.4705882352941178,0.4939846490303787,418.7000000000001,3,p^{select},VFA,2,3,r^{size},optimized_task_config_147,True
14.712420634920631,173.65526996724617,136.0,1.6428571428571428,0.3934047213433925,410.9,3,p^{select},VFA,2,2,r^{size},optimized_task_config_309,True
7.3993464052287585,123.23145643555898,198.0,4.549019607843137,0.6657453432301302,263.9,3,p^{select},VFA,3,2,r^{size},optimized_task_config_174,True
12.337493464052288,211.1952420228332,308.0,3.686274509803922,0.5241399645157518,385.7,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_34,True
12.952941176470588,249.091364007433,323.0,4.470588235294118,0.555578439293843,371.3,3,p^{family},VFA,2,2,r^{size},optimized_task_config_205,True
8.00109477124183,153.47033002424286,222.0,9.294117647058824,0.6628450480642032,266.79999999999995,3,p^{select},VFA,1,5,r^{size},optimized_task_config_155,True
12.336486928104572,213.99049475148445,292.5,4.235294117647059,0.5270331684954428,387.45,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_5t_3h_p#singlelist,True
13.323627450980393,203.44913350527577,315.0,3.3529411764705883,0.4924654415637142,416.15,3,p^{select},VFA,1,3,r^{size},ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
13.406830065359475,218.92525699944457,334.0,2.9411764705882355,0.5036164526124081,414.5,3,p^{select},VFR,4,7,r^{size},optimized_task_config_79,True
9.417549019607842,181.14207661796743,259.0,7.529411764705882,0.6299515757720091,296.4,3,p^{select},VFA,1,3,r^{size},optimized_task_config_121,True
12.93950653594771,196.0326764662096,276.0,3.088235294117647,0.4854807640294225,422.7000000000001,3,p^{select},VFA,2,2,r^{size},batch_t10_h5,True
12.86063725490196,198.7197148036012,267.0,2.823529411764706,0.4812203314549038,423.8,3,p^{select},FIFO,2,3,r^{size},optimized_task_config_70,True
12.51547385620915,185.32039123787857,270.0,6.392156862745098,0.4971222785746731,418.7,3,p^{select},VFA,1,2,r^{size},optimized_task_config_204,True
28.20680555555556,148.09830102237652,1.0,1.1666666666666667,0.0857898715041571,88.2,3,p^{select},VFA,2,2,r^{size},optimized_task_config_134,True
10.85921568627451,157.65761046872996,221.0,4.196078431372549,0.5184295480921756,386.9,3,p^{family},FIFO,2,4,r^{rent},optimized_task_config_186,True
12.261511437908496,207.7588721880473,320.5,5.235294117647059,0.5305082377054798,393.8,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,True
8.918039215686274,170.60029648212222,273.0,4.509803921568627,0.6480652198874728,290.3,3,p^{select},VFA,3,4,r^{size},optimized_task_config_326,True
6.4471895424836605,145.97772663291894,224.0,6.490196078431373,0.7635597682991047,189.9,3,p^{select},FIFO,3,2,r^{rent},optimized_task_config_214,True
13.037467320261438,190.8150194161433,291.0,1.803921568627451,0.4882588734621412,424.1,3,p^{select},VFR,1,1,r^{size},optimized_task_config_312,True
4.7095424836601305,104.7524288756461,95.0,5.0,0.7954383826069288,154.4,3,p^{select},VFA,2,2,r^{random},optimized_task_config_194,True
12.60906862745098,187.63597207644497,252.0,2.333333333333333,0.4929098706086119,423.4,3,p^{select},FIFO,4,5,r^{size},optimized_task_config_318,True
7.381764705882354,133.6898793476868,223.0,7.019607843137255,0.6912306786853761,253.2,3,p^{select},FIFO,2,2,r^{rent},optimized_task_config_137,True
11.914738562091502,182.25721104276133,243.0,2.92156862745098,0.5106660251012471,391.2,3,p^{select},VFA,2,4,r^{size},optimized_task_config_161,True
13.77626633986928,219.90300172022512,330.5,3.058823529411765,0.4885320514100111,423.9,3,p^{select},VFA,1,3,r^{size},ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
23.30388888888889,266.2881839506173,5.0,1.1666666666666667,0.2438180019782394,67.4,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_120,True
11.95062091503268,190.0949454205647,288.0,2.9411764705882355,0.5211846280876632,394.2,3,p^{select},FIFO,5,4,r^{size},optimized_task_config_89,True
9.824395424836602,152.98821718623182,217.0,6.764705882352941,0.5630913155708687,351.7,3,p^{family},FIFO,1,5,r^{rent},optimized_task_config_287,True
20.559776666666664,149.5050209048,55.0,1.98,0.1719699534427105,328.2,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_298,True
24.12858333333333,214.71704334027777,14.0,1.4,0.1691432903714935,131.9,3,p^{select},VFA,2,2,r^{size},optimized_task_config_86,True
13.275065359477123,196.09366415694817,321.0,5.764705882352941,0.4825886638808528,439.2,3,p^{family},VFA,1,2,r^{rent},optimized_task_config_1,True
27.94833333333333,130.33334444444444,2.0,1.0,0.0897269180754225,76.9,3,p^{select},VFA,2,2,r^{size},optimized_task_config_56,True
10.84796568627451,167.7014974286065,283.5,3.852941176470588,0.5532469075089733,371.1500000000001,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,True
12.328496732026144,183.30146582297408,250.0,2.0,0.4852826376452219,427.0,3,p^{select},FIFO,1,5,r^{size},optimized_task_config_276,True
12.647908496732024,185.4447708707121,251.0,3.019607843137255,0.4931757245109697,420.5,3,p^{select},VFR,2,5,r^{size},optimized_task_config_330,True
13.836013071895424,260.23452408261784,364.0,3.92156862745098,0.540091451600403,379.5,3,p^{family},FIFO,2,3,r^{size},optimized_task_config_294,True
12.47200980392157,188.15142275006409,268.0,3.715686274509804,0.5122389842998238,402.2000000000001,2,p^{family},VFA,2,2,r^{size},ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,True
11.990130718954248,195.13068525033103,276.0,3.901960784313725,0.5183885475208041,389.8,3,p^{rent},VFA,2,2,r^{size},ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True
15.84984268707483,222.20713718747345,271.5,2.0136054421768708,0.4226051677921943,421.8,3,p^{select},VFA,3,3,r^{size},ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
11.8123431372549,183.8889321616685,290.0,3.431372549019608,0.5121580547112462,394.8,3,p^{random},VFA,2,3,r^{random},optimized_task_config_144,True
12.772042483660131,186.92501305320604,255.0,2.372549019607843,0.4879141708302279,426.2,3,p^{select},VFR,2,4,r^{size},optimized_task_config_82,True
12.47263071895425,206.6105770798624,290.0,3.980392156862745,0.4969477446150874,406.0,3,p^{random},VFA,2,2,r^{random},optimized_task_config_173,True
14.135915032679735,228.6332793370071,366.0,3.372549019607843,0.4950137886188124,413.1,3,p^{select},VFA,2,2,r^{size},ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
18.002369791666666,181.98252695787207,124.0,2.375,0.2896684377587637,362.3,3,p^{select},VFA,2,6,r^{size},optimized_task_config_304,True
12.113684640522877,190.76066770659787,270.0,3.519607843137255,0.5232037186773736,391.6,1,p^{family},VFA,2,2,r^{size},ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,True
13.68794534480459,211.75012146194052,298.0,2.23609443777511,0.4781357533594154,427.1,3,p^{select},VFR,2,2,r^{size},ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
23.84805555555556,254.81371334876545,4.0,1.1666666666666667,0.2528089887640449,71.2,3,p^{select},VFA,2,2,r^{size},optimized_task_config_132,True
16.77310185185185,215.3618502814783,212.66666666666663,1.7777777777777777,0.3808908695612147,417.7,3,p^{select},FIFO,2,2,r^{size},ver2_nofilter_multilist(2.1_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
12.65390522875817,180.04439483905762,286.0,3.411764705882353,0.5059399813888454,415.1,3,p^{select},VFA,2,4,r^{size},optimized_task_config_74,True
18.90419047619048,174.84744255895694,111.0,1.7142857142857142,0.2548633291866993,424.9,3,p^{select},VFA,2,4,r^{size},optimized_task_config_77,True
8.646503267973857,182.92913858985847,268.0,4.470588235294118,0.6647985525793213,266.6,3,p^{select},FIFO,2,2,r^{size},optimized_task_config_282,True
13.064232026143792,195.6944866242684,313.0,3.333333333333333,0.4828129927467676,422.8,3,p^{select},FIFO,2,4,r^{size},optimized_task_config_80,True
13.317990196078432,227.4530795933188,371.5,3.8333333333333335,0.5227360045287216,399.0,3,p^{select},VFA,3,3,r^{size},ver2_nofilter_multilist(1.2_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,True
12.879705882352942,199.80370040369093,287.0,2.2745098039215685,0.4816142270861834,430.0,3,p^{select},VFA,2,3,r^{size},optimized_task_config_187,True
12.240434640522876,183.88244687481304,241.0,3.3529411764705883,0.4893667861409797,418.5,3,p^{select},FIFO,2,3,r^{size},optimized_task_config_268,True
11.905098039215687,204.4240543434149,296.0,3.735294117647059,0.5337230953327323,385.25,3,p^{random},FIFO,2,2,r^{random},ver1_nofilter_singlelist_8t_6h_p#singlelist,True
20.753888888888888,172.7942672839506,0.0,2.1666666666666665,0.2470930232558139,68.8,3,p^{select},VFA,2,2,r^{size},optimized_task_config_117,True
7.1429575163398695,160.39164811824514,205.0,5.137254901960784,0.7337701508393515,210.2,3,p^{family},VFA,2,2,r^{rent},ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,True
12.607712418300654,187.07504500299032,288.5,2.372549019607843,0.4927512881863591,417.95,3,p^{select},VFA,2,2,r^{size},batch_t10_h20,True
12.6094,179.87622614583336,241.5,2.5,0.4656442536484728,431.25,3,p^{select},VFA,2,2,r^{size},batch_t5_h5,True
20.907,223.518996,3.0,1.4,0.248135593220339,59.0,3,p^{select},VFA,2,2,r^{size},optimized_task_config_59,True
14.803398692810458,277.73835435302664,408.0,4.882352941176471,0.5174163203123845,397.7,3,p^{family},VFR,3,4,r^{size},optimized_task_config_317,True
27.979166666666668,153.62300347222222,5.0,1.0,0.0625909752547306,91.6,3,p^{select},VFA,2,2,r^{size},optimized_task_config_154,True
12.830993464052288,187.25166773089416,295.0,4.450980392156863,0.4748840396373602,446.4,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_261,True
29.312666666666665,145.95497844444446,0.0,1.0,0.1024657534246575,73.0,3,p^{select},FIFO,2,3,r^{size},optimized_task_config_133,True
13.109313725490196,205.0949969691144,269.0,6.078431372549019,0.4827383945031005,421.2,3,p^{select},VFA,3,2,r^{size},optimized_task_config_166,True
20.641250000000003,172.2234244791667,3.0,1.1666666666666667,0.2013536379018612,78.8,3,p^{select},VFR,4,2,r^{size},optimized_task_config_229,True
15.7635625,176.64857350651044,128.0,2.2,0.3459801633605599,428.5,3,p^{select},FIFO,2,5,r^{size},optimized_task_config_106,True
13.889183006535948,209.43232956127983,342.0,2.9411764705882355,0.4874805874179222,431.8,3,p^{select},FIFO,3,5,r^{size},ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5_no_memory,True
11.923692810457515,226.15995057883725,290.0,4.176470588235294,0.5849789088212116,338.4,3,p^{family},VFA,2,3,r^{size},optimized_task_config_172,True
6.921241830065359,215.59813965034817,289.5,5.627450980392156,0.8135584982596096,154.8,3,p^{family},VFA,2,2,r^{random},ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,True
